"year","group_abbr","deaths","crude_rate","asr"
2013,"IHD",611,73.4,86.5
2013,"HF",93,11.2,12.3
2013,"ARR",44,5.3,6.1
2013,"CMP",56,6.7,7.6
2013,"INF",23,2.8,3.3
2014,"IHD",640,75.9,89.5
2014,"HF",88,10.4,12.1
2014,"ARR",43,5.1,5.5
2014,"CMP",53,6.3,7
2014,"INF",18,2.1,2.5
2015,"IHD",633,74.2,86.9
2015,"HF",102,11.9,13.6
2015,"ARR",62,7.3,8.1
2015,"CMP",63,7.4,8.2
2015,"INF",22,2.6,3
2016,"IHD",748,86.6,100.7
2016,"HF",113,13.1,14.6
2016,"ARR",44,5.1,5.6
2016,"CMP",60,6.9,8
2016,"INF",22,2.5,3.1
2017,"IHD",670,76.6,89.8
2017,"HF",88,10.1,11.5
2017,"ARR",53,6.1,6.8
2017,"CMP",42,4.8,5.5
2017,"INF",18,2.1,2.5
2018,"IHD",740,83.5,98.6
2018,"HF",49,5.5,6.2
2018,"ARR",81,9.1,10.4
2018,"CMP",41,4.6,5.4
2018,"INF",31,3.5,4.1
2019,"IHD",790,87.2,102
2019,"HF",43,4.7,5.3
2019,"ARR",67,7.4,8.5
2019,"CMP",50,5.5,6.4
2019,"INF",34,3.8,4.4
2020,"IHD",843,92,108.2
2020,"HF",46,5,5.5
2020,"ARR",81,8.8,9.9
2020,"CMP",63,6.9,7.7
2020,"INF",30,3.3,3.7
2021,"IHD",958,105.7,123.6
2021,"HF",57,6.3,7.2
2021,"ARR",89,9.8,10.8
2021,"CMP",53,5.8,6.5
2021,"INF",37,4.1,4.6
2022,"IHD",946,105.3,122.8
2022,"HF",67,7.5,8.6
2022,"ARR",109,12.1,13.5
2022,"CMP",33,3.7,4.2
2022,"INF",44,4.9,5.9
