"disease_group","CID3","n","pct"
"Ischaemic heart disease","I21",6467,85.3
"Ischaemic heart disease","I25",724,9.6
"Heart failure","I50",646,86.6
"Cardiomyopathies","I42",514,100
"Ischaemic heart disease","I24",373,4.9
"Arrhythmias","I48",292,43.4
"Arrhythmias","I49",281,41.8
"Inflammatory","I38",115,41.2
"Inflammatory","I33",111,39.8
"Heart failure","I51",100,13.4
"Arrhythmias","I44",54,8
"Inflammatory","I31",39,14
"Arrhythmias","I46",30,4.5
"Arrhythmias","I47",16,2.4
"Ischaemic heart disease","I20",11,0.1
"Inflammatory","I40",8,2.9
"Inflammatory","I30",6,2.2
"Ischaemic heart disease","I22",4,0.1
