"year","age_group_det","group_abbr","n","rate"
2013,"0-4","HF",1,1.7
2013,"0-4","CMP",1,1.7
2013,"0-4","INF",1,1.7
2013,"15-24","IHD",2,1.3
2013,"15-24","HF",2,1.3
2013,"15-24","CMP",1,0.7
2013,"25-34","IHD",6,4.4
2013,"25-34","HF",2,1.5
2013,"25-34","ARR",1,0.7
2013,"25-34","CMP",2,1.5
2013,"25-34","INF",2,1.5
2013,"35-44","IHD",18,14.9
2013,"35-44","HF",3,2.5
2013,"35-44","CMP",4,3.3
2013,"35-44","INF",2,1.7
2013,"45-54","IHD",73,76.3
2013,"45-54","HF",6,6.3
2013,"45-54","ARR",2,2.1
2013,"45-54","CMP",5,5.2
2013,"45-54","INF",2,2.1
2013,"5-14","IHD",1,0.8
2013,"5-14","HF",1,0.8
2013,"5-14","CMP",1,0.8
2013,"55-64","IHD",140,197.9
2013,"55-64","HF",18,25.4
2013,"55-64","ARR",7,9.9
2013,"55-64","CMP",10,14.1
2013,"55-64","INF",3,4.2
2013,"65-74","IHD",163,391.7
2013,"65-74","HF",14,33.6
2013,"65-74","ARR",11,26.4
2013,"65-74","CMP",12,28.8
2013,"65-74","INF",8,19.2
2013,"75+","IHD",206,707.1
2013,"75+","HF",44,151
2013,"75+","ARR",23,79
2013,"75+","CMP",19,65.2
2013,"75+","INF",5,17.2
2014,"0-4","HF",1,1.7
2014,"0-4","CMP",3,5.1
2014,"25-34","IHD",5,3.6
2014,"25-34","HF",2,1.4
2014,"25-34","ARR",1,0.7
2014,"25-34","CMP",3,2.2
2014,"35-44","IHD",27,22.1
2014,"35-44","HF",2,1.6
2014,"35-44","CMP",4,3.3
2014,"35-44","INF",2,1.6
2014,"45-54","IHD",78,80.4
2014,"45-54","HF",6,6.2
2014,"45-54","ARR",2,2.1
2014,"45-54","CMP",4,4.1
2014,"45-54","INF",3,3.1
2014,"55-64","IHD",144,200.9
2014,"55-64","HF",16,22.3
2014,"55-64","ARR",3,4.2
2014,"55-64","CMP",14,19.5
2014,"55-64","INF",2,2.8
2014,"65-74","IHD",178,422.2
2014,"65-74","HF",22,52.2
2014,"65-74","ARR",10,23.7
2014,"65-74","CMP",5,11.9
2014,"65-74","INF",5,11.9
2014,"75+","IHD",204,691.3
2014,"75+","HF",39,132.2
2014,"75+","ARR",25,84.7
2014,"75+","CMP",20,67.8
2014,"75+","INF",6,20.3
2015,"0-4","HF",4,6.7
2015,"15-24","IHD",1,0.7
2015,"15-24","INF",1,0.7
2015,"25-34","IHD",10,7.1
2015,"25-34","HF",2,1.4
2015,"25-34","ARR",1,0.7
2015,"25-34","CMP",2,1.4
2015,"25-34","INF",1,0.7
2015,"35-44","IHD",20,16.2
2015,"35-44","HF",2,1.6
2015,"35-44","ARR",1,0.8
2015,"35-44","CMP",3,2.4
2015,"35-44","INF",4,3.2
2015,"45-54","IHD",67,68.3
2015,"45-54","HF",8,8.1
2015,"45-54","ARR",3,3.1
2015,"45-54","CMP",6,6.1
2015,"45-54","INF",3,3.1
2015,"55-64","IHD",136,187.4
2015,"55-64","HF",14,19.3
2015,"55-64","ARR",7,9.6
2015,"55-64","CMP",10,13.8
2015,"55-64","INF",4,5.5
2015,"65-74","IHD",168,393.6
2015,"65-74","HF",23,53.9
2015,"65-74","ARR",11,25.8
2015,"65-74","CMP",13,30.5
2015,"65-74","INF",6,14.1
2015,"75+","IHD",229,766.5
2015,"75+","HF",48,160.7
2015,"75+","ARR",39,130.5
2015,"75+","CMP",28,93.7
2015,"75+","INF",3,10
2016,"15-24","ARR",1,0.6
2016,"15-24","INF",1,0.6
2016,"25-34","IHD",5,3.5
2016,"25-34","HF",1,0.7
2016,"25-34","ARR",1,0.7
2016,"25-34","INF",2,1.4
2016,"35-44","IHD",25,20
2016,"35-44","HF",1,0.8
2016,"35-44","CMP",1,0.8
2016,"35-44","INF",3,2.4
2016,"45-54","IHD",73,73.5
2016,"45-54","HF",8,8.1
2016,"45-54","ARR",1,1
2016,"45-54","CMP",10,10.1
2016,"45-54","INF",2,2
2016,"55-64","IHD",162,220.6
2016,"55-64","HF",12,16.3
2016,"55-64","ARR",1,1.4
2016,"55-64","CMP",12,16.3
2016,"55-64","INF",5,6.8
2016,"65-74","IHD",181,419
2016,"65-74","HF",21,48.6
2016,"65-74","ARR",11,25.5
2016,"65-74","CMP",12,27.8
2016,"65-74","INF",9,20.8
2016,"75+","IHD",300,992.1
2016,"75+","HF",70,231.5
2016,"75+","ARR",28,92.6
2016,"75+","CMP",25,82.7
2017,"0-4","CMP",2,3.3
2017,"15-24","IHD",1,0.6
2017,"15-24","HF",1,0.6
2017,"15-24","INF",1,0.6
2017,"25-34","IHD",9,6.2
2017,"25-34","HF",1,0.7
2017,"25-34","INF",1,0.7
2017,"35-44","IHD",22,17.4
2017,"35-44","HF",4,3.2
2017,"35-44","ARR",1,0.8
