"GRUPO_CARDIO","CID3","n","pct"
"Doenças isquêmicas do coração","I21",6467,85.3
"Doenças isquêmicas do coração","I25",724,9.6
"Insuficiência cardíaca e outras condições cardíacas","I50",646,86.6
"Miocardiopatias","I42",514,100
"Doenças isquêmicas do coração","I24",373,4.9
"Distúrbios do ritmo e condução","I48",292,43.4
"Distúrbios do ritmo e condução","I49",281,41.8
"Doenças inflamatórias (pericárdio / endocárdio / miocárdio)","I38",115,41.2
"Doenças inflamatórias (pericárdio / endocárdio / miocárdio)","I33",111,39.8
"Insuficiência cardíaca e outras condições cardíacas","I51",100,13.4
"Distúrbios do ritmo e condução","I44",54,8
"Doenças inflamatórias (pericárdio / endocárdio / miocárdio)","I31",39,14
"Distúrbios do ritmo e condução","I46",30,4.5
"Distúrbios do ritmo e condução","I47",16,2.4
"Doenças isquêmicas do coração","I20",11,0.1
"Doenças inflamatórias (pericárdio / endocárdio / miocárdio)","I40",8,2.9
"Doenças inflamatórias (pericárdio / endocárdio / miocárdio)","I30",6,2.2
"Doenças isquêmicas do coração","I22",4,0.1
