"ano_obito","faixa_det","grupo_curto","n","pop_total","pop_masc","pop_fem","prop_pop","taxa"
2013,"0-4","HF",1,832352,405477,426875,0.07,1.72
2013,"0-4","CMP",1,832352,405477,426875,0.07,1.72
2013,"0-4","INF",1,832352,405477,426875,0.07,1.72
2013,"15-24","IHD",2,832352,405477,426875,0.18,1.33
2013,"15-24","HF",2,832352,405477,426875,0.18,1.33
2013,"15-24","CMP",1,832352,405477,426875,0.18,0.67
2013,"25-34","IHD",6,832352,405477,426875,0.165,4.37
2013,"25-34","HF",2,832352,405477,426875,0.165,1.46
2013,"25-34","ARR",1,832352,405477,426875,0.165,0.73
2013,"25-34","CMP",2,832352,405477,426875,0.165,1.46
2013,"25-34","INF",2,832352,405477,426875,0.165,1.46
2013,"35-44","IHD",18,832352,405477,426875,0.145,14.91
2013,"35-44","HF",3,832352,405477,426875,0.145,2.49
2013,"35-44","CMP",4,832352,405477,426875,0.145,3.31
2013,"35-44","INF",2,832352,405477,426875,0.145,1.66
2013,"45-54","IHD",73,832352,405477,426875,0.115,76.26
2013,"45-54","HF",6,832352,405477,426875,0.115,6.27
2013,"45-54","ARR",2,832352,405477,426875,0.115,2.09
2013,"45-54","CMP",5,832352,405477,426875,0.115,5.22
2013,"45-54","INF",2,832352,405477,426875,0.115,2.09
2013,"5-14","IHD",1,832352,405477,426875,0.155,0.78
2013,"5-14","HF",1,832352,405477,426875,0.155,0.78
2013,"5-14","CMP",1,832352,405477,426875,0.155,0.78
2013,"55-64","IHD",140,832352,405477,426875,0.085,197.88
2013,"55-64","HF",18,832352,405477,426875,0.085,25.44
2013,"55-64","ARR",7,832352,405477,426875,0.085,9.89
2013,"55-64","CMP",10,832352,405477,426875,0.085,14.13
2013,"55-64","INF",3,832352,405477,426875,0.085,4.24
2013,"65-74","IHD",163,832352,405477,426875,0.05,391.66
2013,"65-74","HF",14,832352,405477,426875,0.05,33.64
2013,"65-74","ARR",11,832352,405477,426875,0.05,26.43
2013,"65-74","CMP",12,832352,405477,426875,0.05,28.83
2013,"65-74","INF",8,832352,405477,426875,0.05,19.22
2013,"75+","IHD",206,832352,405477,426875,0.035,707.12
2013,"75+","HF",44,832352,405477,426875,0.035,151.04
2013,"75+","ARR",23,832352,405477,426875,0.035,78.95
2013,"75+","CMP",19,832352,405477,426875,0.035,65.22
2013,"75+","INF",5,832352,405477,426875,0.035,17.16
2014,"0-4","HF",1,843120,410725,432395,0.07,1.69
2014,"0-4","CMP",3,843120,410725,432395,0.07,5.08
2014,"25-34","IHD",5,843120,410725,432395,0.165,3.59
2014,"25-34","HF",2,843120,410725,432395,0.165,1.44
2014,"25-34","ARR",1,843120,410725,432395,0.165,0.72
2014,"25-34","CMP",3,843120,410725,432395,0.165,2.16
2014,"35-44","IHD",27,843120,410725,432395,0.145,22.09
2014,"35-44","HF",2,843120,410725,432395,0.145,1.64
2014,"35-44","CMP",4,843120,410725,432395,0.145,3.27
2014,"35-44","INF",2,843120,410725,432395,0.145,1.64
2014,"45-54","IHD",78,843120,410725,432395,0.115,80.45
2014,"45-54","HF",6,843120,410725,432395,0.115,6.19
2014,"45-54","ARR",2,843120,410725,432395,0.115,2.06
2014,"45-54","CMP",4,843120,410725,432395,0.115,4.13
2014,"45-54","INF",3,843120,410725,432395,0.115,3.09
2014,"55-64","IHD",144,843120,410725,432395,0.085,200.93
2014,"55-64","HF",16,843120,410725,432395,0.085,22.33
2014,"55-64","ARR",3,843120,410725,432395,0.085,4.19
2014,"55-64","CMP",14,843120,410725,432395,0.085,19.54
2014,"55-64","INF",2,843120,410725,432395,0.085,2.79
2014,"65-74","IHD",178,843120,410725,432395,0.05,422.24
2014,"65-74","HF",22,843120,410725,432395,0.05,52.19
2014,"65-74","ARR",10,843120,410725,432395,0.05,23.72
2014,"65-74","CMP",5,843120,410725,432395,0.05,11.86
2014,"65-74","INF",5,843120,410725,432395,0.05,11.86
2014,"75+","IHD",204,843120,410725,432395,0.035,691.31
2014,"75+","HF",39,843120,410725,432395,0.035,132.16
2014,"75+","ARR",25,843120,410725,432395,0.035,84.72
2014,"75+","CMP",20,843120,410725,432395,0.035,67.78
2014,"75+","INF",6,843120,410725,432395,0.035,20.33
2015,"0-4","HF",4,853622,415839,437783,0.07,6.69
2015,"15-24","IHD",1,853622,415839,437783,0.18,0.65
2015,"15-24","INF",1,853622,415839,437783,0.18,0.65
2015,"25-34","IHD",10,853622,415839,437783,0.165,7.1
2015,"25-34","HF",2,853622,415839,437783,0.165,1.42
2015,"25-34","ARR",1,853622,415839,437783,0.165,0.71
2015,"25-34","CMP",2,853622,415839,437783,0.165,1.42
2015,"25-34","INF",1,853622,415839,437783,0.165,0.71
2015,"35-44","IHD",20,853622,415839,437783,0.145,16.16
2015,"35-44","HF",2,853622,415839,437783,0.145,1.62
2015,"35-44","ARR",1,853622,415839,437783,0.145,0.81
2015,"35-44","CMP",3,853622,415839,437783,0.145,2.42
2015,"35-44","INF",4,853622,415839,437783,0.145,3.23
2015,"45-54","IHD",67,853622,415839,437783,0.115,68.25
2015,"45-54","HF",8,853622,415839,437783,0.115,8.15
2015,"45-54","ARR",3,853622,415839,437783,0.115,3.06
2015,"45-54","CMP",6,853622,415839,437783,0.115,6.11
2015,"45-54","INF",3,853622,415839,437783,0.115,3.06
2015,"55-64","IHD",136,853622,415839,437783,0.085,187.44
2015,"55-64","HF",14,853622,415839,437783,0.085,19.29
2015,"55-64","ARR",7,853622,415839,437783,0.085,9.65
2015,"55-64","CMP",10,853622,415839,437783,0.085,13.78
